Fund_Name,Objective,Fund_Type,Allotment_Date,Benchmark,ADDL_Benchmark,Fund_Manager,Riskometer,Potential_Risk_Class,Maturity_Date,Exit_Load,ISIN_Number,AMFI_Code,Frequency_SIP,Frequency_SWP,Frequency_STP,Min_Amount_SIP,Min_Amount_SWP,Min_Amount_STP,Holdings,ISIN,Rating/Industry,Quantity,Market Value,Net Assets %,Portfolio Date,Scheme Name,Scheme code,Asset Category,Row Type,Scheme_Name_TER,Regular Plan TER,Direct Plan TER,Expense Ratio Date
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,9.25% SK Finance Limited (02/01/2028) **,INE124N07747,ICRA AA-,2500000.0,2487.15,3.435672605467684,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.71% State Government Securities (08/03/2034),IN1520220279,SOVEREIGN,1500000.0,1574.5125,2.17498319892907,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.71% State Government Securities (01/03/2033),IN1520220253,SOVEREIGN,1500000.0,1572.4425,2.1721237645188745,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,8.65% Cholamandalam Investment and Finance Company Ltd (28/05/2029) **,INE121A07SD9,ICRA AA+,1500000.0,1524.297,2.1056170498347804,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.87% LIC Housing Finance Limited (14/05/2029) **,INE115A07QQ7,CRISIL AAA,1500000.0,1521.2145,2.1013589790282934,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,8.9% Shriram Finance Limited (22/11/2028) **,INE721A07RS6,CRISIL AA+,1500000.0,1507.8735,2.0829301314599746,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,6.75% Sikka Ports and Terminals Limited (22/04/2026) **,INE941D07208,CRISIL AAA,1500000.0,1486.488,2.0533888587163807,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.74% State Government Securities (23/03/2043),IN2120220131,SOVEREIGN,1000000.0,1073.909,1.48346490242454,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.74% State Government Securities (01/03/2033),IN2220220189,SOVEREIGN,1000000.0,1049.719,1.4500495795343795,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.1% Government of India (08/04/2034),IN0020240019,SOVEREIGN,1000000.0,1032.606,1.4264102070408151,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,8.4% Muthoot Finance Limited (27/07/2028) **,INE414G07IH7,CRISIL AA+,1000000.0,999.996,1.3813637548106315,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
360 ONE Dynamic Bond Fund,To generate income and long term gains by investing in a range of debt and money market instruments of various maturities. The scheme will seek to flexibly manage its investment across the maturity spectrum with a view to optimize the risk return proposition for the investors.,Open Ended,24 Jun 2013,CRISIL Dynamic Bond A-III Index,NA,"Mr. Milan Mody, Mr Manumaharaj Saravanaraj",Moderately High,C-III,NA,Nil,"INF579M01290, INF579M01324, INF579M01266, INF579M01217, INF579M01241, INF579M01183","122717, 122717, 122715, 122712, 122712, 122612",Weekly/Fortnightly/Monthly/Quarterly,Monthly,"daily, weekly, fortnightly or monthly",1000; 1000; 1000; 1500,1000,1000,7.66% State Government Securities (22/02/2030),IN1520220246,SOVEREIGN,661400.0,682.184495,0.9423487048816139,2025-03-31,360 ONE Dynamic Bond Fund,360_ONE_Dy,Debt Instruments,,360 one dynamic bond fund,0.52,0.27,01/03/2026
