Fund_Name,Objective,Fund_Type,Allotment_Date,Benchmark,ADDL_Benchmark,Fund_Manager,Riskometer,Potential_Risk_Class,Maturity_Date,Exit_Load,ISIN_Number,AMFI_Code,Frequency_SIP,Frequency_SWP,Frequency_STP,Min_Amount_SIP,Min_Amount_SWP,Min_Amount_STP,Holdings,ISIN,Rating/Industry,Quantity,Market Value,Net Assets %,Portfolio Date,Scheme Name,Scheme code,Asset Category,Row Type,Scheme_Name_TER,Regular Plan TER,Direct Plan TER,Expense Ratio Date
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Zomato Limited,INE758T01015,Retailing,479941.0,968.040997,1.154783233362905,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Indus Towers Limited,INE121J01017,Telecom - Services,276104.0,923.015672,1.1010721916323907,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Bharti Airtel Limited,INE397D01024,Telecom - Services,52440.0,908.99496,1.0843467810479357,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,APL Apollo Tubes Limited,INE702C01027,Industrial Products,56646.0,863.993115,1.0306637487823134,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,SBI Cards and Payment Services Limited,INE018E01016,Finance,95581.0,842.164191,1.0046238646083239,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Hindustan Aeronautics Limited,INE066F01020,Aerospace & Defense,20059.0,837.9546955,0.9996023264303118,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Coforge Limited,INE591G01017,IT - Software,10217.0,828.516964,0.9883439870304764,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Larsen & Toubro Limited,INE018A01030,Construction,23320.0,814.40436,0.971508957802587,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Cummins India Limited,INE298A01020,Industrial Products,26202.0,799.645737,0.9539032877527223,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Motherson Sumi Wiring India Limited,INE0FS801015,Auto Components,1527016.0,795.7280376,0.9492298352910019,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,ZF Commercial Vehicle Control Systems India Limited,INE342J01019,Auto Components,6062.0,787.669001,0.9396161511892136,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,REC Limited,INE020B01018,Finance,180147.0,773.190924,0.9223451465285122,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
360 ONE Balanced Hybrid Fund,"The Investment Objective of the fund is to generate long term capital appreciation/income by investing in equity and debt instruments.  However, there is no assurance or guarantee that the investment objective of the Scheme will be achieved. The Scheme does not assure or guarantee any returns.",Open Ended,25 Sep 2023,Nifty 50 Hybrid Composite Debt 50:50 Index,-,"Mr. Mayur Patel, Mr. Ashish Ongari, Mr. Milan Mody, Mr Manumaharaj Saravanara",High,-,NA,• Redemption / switch-out of 10% of Units allotted on or before completion of 12 months from the date of allotment- NIL exit load. • Redemption/ switch out in excess of the 10% of Units allotted on or before completion of 12 months from the date of allotment –1.00% exit load. • Nil - if redeemed / switched out after 12 months from the date of allotment,"INF579M01AV5, INF579M01AW3, INF579M01AX1, INF579M01AY9, INF579M01AZ6, INF579M01BA7","152073, 152074, 152075, 152076","Weekly,Fortnightly,Monthly,Quarterly",Monthly,"daily, weekly, fortnightly or monthly",1000,1000,1000,Tech Mahindra Limited,INE669C01036,IT - Software,50026.0,709.493745,0.8463603126736753,2025-03-31,360 ONE Balanced Hybrid Fund,360_ONE_Ba,Equity & Equity Related,,360 one balanced hybrid fund,1.94,0.45,01/03/2026
